Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
India,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,..,..,46.4,..,..,..,..,34.6,..,27.1,..,..,..,..,..,..,..,..,..,..,5.3,..
India,Gini index,..,..,..,..,27.7,..,..,..,..,27.8,..,28.8,..,..,..,..,..,..,..,..,..,..,25.5,..
India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.624,7.653,7.753,7.68,7.625,7.552,7.552,7.561,7.656,7.664,7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172
India,"Inflation, consumer prices (annual %)",4.00943591,3.779293122,4.297152039,3.805858995,3.767251735,4.24634362,5.796523376,6.372881356,8.349267049,10.88235294,11.98938992,8.911793365,9.478996914,10.01787847,6.665656719,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472,6.699034141,5.649143189
China,GDP per capita (current US$),969.1995137,1065.405976,1163.559577,1306.972454,1530.927262,1777.644968,2129.25697,2734.727099,3523.443021,3898.244592,4629.245517,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824
China,GDP growth (annual %),8.586432018,8.312638871,9.243393266,10.11819286,10.13140736,11.45823846,12.67467517,14.14998549,9.670245886,9.402699728,10.59627198,9.461335887,7.856174271,7.778724094,7.461900282,6.978780027,6.775555628,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301
China,"School enrollment, secondary (% gross)",59.49248123,62.20983887,62.83789825,64.05413055,..,..,74.05756378,78.1607132,82.67925262,88.28749847,90.78291733,92.03294252,92.2603063,..,..,..,..,..,..,..,..,..,..,..
China,"Life expectancy at birth, total (years)",72.288,72.675,73.034,73.385,73.727,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953
China,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,48.1,..,..,33.1,..,..,26.2,..,20.6,15.7,13.2,6.2,4.7,3,2.2,1.7,0.8,0,0,0,0,..
China,Gini index,..,..,42,..,..,40.9,..,..,43,..,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,..
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67
China,"Inflation, consumer prices (annual %)",0.3478112269,0.7191256091,-0.7319709024,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,-0.7281652509,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.9810151355,1.973575557,0.2348368289
