Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,969.199513696287,1065.40597574519,1163.55957673426,1306.97245408557,1530.92726215723,1777.64496828464,2129.25696999613,2734.72709877693,3523.44302065213,3898.24459158811,4629.24551710077,5703.76027973346,6405.0574241349,7147.03518622344,7781.06597484974,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.58643201808462,8.31263887091522,9.24339326638321,10.1181928640117,10.1314073631003,11.458238455067,12.6746751655235,14.1499854947127,9.67024588602851,9.40269972778044,10.5962719761682,9.4613358870736,7.85617427055587,7.77872409446717,7.46190028229434,6.97878002657477,6.77555562837017,6.8912663621211,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675
China,CHN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,59.4924812316895,62.2098388671875,62.8378982543945,64.0541305541992,..,..,74.0575637817383,78.1607131958008,82.6792526245117,88.2874984741211,90.7829173331445,92.0329425203903,92.2603063015232,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.288,72.675,73.034,73.385,73.727,74.085,74.404,74.789,74.833,75.317,75.668,75.889,76.2,76.452,76.714,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,48.1,..,..,33.1,..,..,26.2,..,20.6,15.7,13.2,6.2,4.7,3,2.2,1.7,0.8,0,0,0,0,..
China,CHN,Gini index,SI.POV.GINI,..,..,42,..,..,40.9,..,..,43,..,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,..
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.347811226864583,0.719125609120118,-0.731970902350249,1.12760348729637,3.8246374310816,1.7764140766757,1.6494309945586,4.81676767378834,5.92525137041092,-0.728165250932903,3.17532475269199,5.55389892257491,2.61952432645539,2.62105001748119,1.92164162788522,1.43702380935656,2.00000182191942,1.59313600071433,2.07479039965575,2.89923416358229,2.41942189457778,0.981015135544894,1.97357555739052,0.23483682889306
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3766.54811466032,3176.28935747524,2855.94018885769,3090.6070097455,3663.823188064,4827.78173074714,5934.14470924968,7409.69130673473,8908.33176538648,8678.6592244676,11403.2821278747,13396.6243562986,12521.7213519966,12458.8912138813,12274.9939689363,8936.19661712113,8836.28652735657,10080.5092819305,9300.66164923219,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.38794944745618,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,3.24165532906981
